R1-PINH1,82.55,63.50,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R10,8.89,100.33,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_BAT,119.38,44.45,0.00,200,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PWRUSB,109.22,31.75,90.00,100K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2,64.77,12.70,0.00,2.2,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH,160.02,6.35,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH1,91.44,60.96,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB,154.94,41.91,0.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB1,154.94,43.18,0.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_BAT,125.73,39.37,90.00,2K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R3,67.31,10.16,90.00,0.47,ESP32_WROVER_EAGLE-LTSPICE_R0402
R4,69.85,15.24,180.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R5,36.83,48.26,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R6,44.45,30.48,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R7,41.91,30.48,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R8,38.10,30.48,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R9,67.31,35.56,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
RESET_BUTTON,49.00,109.00,180.00,BUTTON_CUSYOMV1,MYBUTTON
R_BOOT,20.32,107.95,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CAPACITOR,91.44,50.80,270.00,15,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CHANGE,60.96,109.18,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CL1,69.85,35.56,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_RESET,45.72,109.18,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
SENSOR2,158.75,11.42,0.00,ESP32_WROVER_BME680_BME680,ESP32_WROVER_BME680_PSON80P300X300X100-8N
SJ1,64.77,10.16,0.00,,SJ
TP1,17.78,78.74,0.00,TPTP20R,TP20R
TP10,40.64,6.35,0.00,TPTP20R,TP20R
TP11,63.50,26.67,0.00,TPTP20R,TP20R
TP12,59.69,21.59,0.00,TPTP20R,TP20R
TP13,68.58,86.36,0.00,TPTP20R,TP20R
TP14,109.22,43.18,0.00,TPTP20R,TP20R
TP15,21.59,35.56,0.00,TPTP20R,TP20R
TP16,147.32,24.13,0.00,TPTP20R,TP20R
TP17,85.09,20.32,0.00,TPTP20R,TP20R
TP2,20.32,76.20,0.00,TPTP20R,TP20R
TP3,132.08,41.91,0.00,TPTP20R,TP20R
TP4,152.40,11.43,0.00,TPTP20R,TP20R
TP5,7.62,41.91,0.00,TPTP20R,TP20R
TP6,33.02,55.88,0.00,TPTP20R,TP20R
TP7,54.61,39.37,0.00,TPTP20R,TP20R
TP8,53.34,25.40,0.00,TPTP20R,TP20R
TP9,13.97,77.47,0.00,TPTP20R,TP20R
U1,40.64,54.61,0.00,W25Q512JVEIQ,SON127P600X800X80-9N
U2,16.96,55.88,90.00,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
U3,81.28,55.88,90.00,DS3231SN#,SOIC127P1032X265-16N
U4,135.89,45.72,0.00,MAX17048G+T10,SON50P200X200X80-9N
